Facility	Category	Facilities that need attention	Area of concern title	Area of concern insight	Area of concern evidence	Area of concern domain	Verify on the ground
UHC Bishwanath	Stagnating	• BP control stuck at 46% for 4+ months without improvement.  • No progress despite programme activity; current approach is insufficient.  • Root-cause review needed; standard interventions are not working.	No improvement despite sustained effort	BP control unchanged at 46% for 4 months; standard programme inputs failing.	1. BP controlled: 46% (no change for 4 months)  2. Overdue patients called: 56% (target: ≥80%)  3. Returned to care ≤15 days: 28% (target: ≥60%)	System	• Ask in-charge what barriers are preventing any improvement.  • Review call logs; check genuine contacts vs recorded attempts.  • Confirm titration protocol is visible and used at point of care.
Sylhet Sadar	On Target	• BP control at 56%; all key indicators meeting targets.  • Strong performance across follow-up, stock, and clinical indicators.  • Document and share practices as a model for nearby facilities.	Strong performance; replicate and sustain	All key indicators on target; 56% BP control with stable drug supply and follow-up.	1. BP controlled: 56% (target: ≥50%)  2. Drug stock: 69 days (target: ≥60 days)  3. Fudging ratio: 1.4 (threshold: <3.0)	Operational	• Confirm follow-up schedule is maintained consistently each month.  • Review drug ordering process to understand how stock was maintained.  • Document specific practices for replication in other facilities.
CC Shah Arpin	On Target	• BP control at 66%; all key indicators meeting targets.  • Strong performance across follow-up, stock, and clinical indicators.  • Document and share practices as a model for nearby facilities.	Strong performance; replicate and sustain	All key indicators on target; 66% BP control with stable drug supply and follow-up.	1. BP controlled: 66% (target: ≥50%)  2. Drug stock: 100 days (target: ≥60 days)  3. Fudging ratio: 1.6 (threshold: <3.0)	Operational	• Confirm follow-up schedule is maintained consistently each month.  • Review drug ordering process to understand how stock was maintained.  • Document specific practices for replication in other facilities.
CC Danaram	Improving	• BP control at 43%; gained 8% this month.  • Positive trajectory but sub-target indicators still need monitoring.  • Sustain momentum; address titration and return-to-care gaps.	Improving but titration and retention lagging	BP control gained 8% this month but titration and retention remain below target.	1. BP controlled: 43% (gain: +8%)  2. Titration rate: 45% (target: ≥80%)  3. Returned to care ≤15 days: 48% (target: ≥60%)	Clinical Practice	• Ask if staff changes or training drove recent improvement.  • Confirm drug stock was uninterrupted during improvement period.  • Verify call logs reflect genuine patient contacts made.
CC Lamagangapur	Critical	• Drug stock critically low at 12 days; immediate resupply needed.  • BP control at 41%; supply gap will worsen outcomes rapidly.  • Emergency stock order must be placed today.	Critical drug stock nearly exhausted	Stock at 12 days; patients risk leaving without medication this week.	1. Drug stock: 12 days (critical threshold: <30 days)  2. BP controlled: 41% (target: ≥50%)  3. Titration rate: 64% (target: ≥80%)	Operational	• Count physical drug stock; verify register matches today.  • Confirm emergency resupply order has been submitted.  • Ask if patients were turned away due to stock shortage.
CC Baraigram	On Target	• BP control at 62%; all key indicators meeting targets.  • Strong performance across follow-up, stock, and clinical indicators.  • Document and share practices as a model for nearby facilities.	Strong performance; replicate and sustain	All key indicators on target; 62% BP control with stable drug supply and follow-up.	1. BP controlled: 62% (target: ≥50%)  2. Drug stock: 82 days (target: ≥60 days)  3. Fudging ratio: 2.3 (threshold: <3.0)	Operational	• Confirm follow-up schedule is maintained consistently each month.  • Review drug ordering process to understand how stock was maintained.  • Document specific practices for replication in other facilities.
CC Chhatrish	On Target	• BP control at 54%; all key indicators meeting targets.  • Strong performance across follow-up, stock, and clinical indicators.  • Document and share practices as a model for nearby facilities.	Strong performance; replicate and sustain	All key indicators on target; 54% BP control with stable drug supply and follow-up.	1. BP controlled: 54% (target: ≥50%)  2. Drug stock: 88 days (target: ≥60 days)  3. Fudging ratio: 1.2 (threshold: <3.0)	Operational	• Confirm follow-up schedule is maintained consistently each month.  • Review drug ordering process to understand how stock was maintained.  • Document specific practices for replication in other facilities.
CC Kacuya Bohor	Improving	• BP control at 39%; gained 15% this month.  • Positive trajectory but sub-target indicators still need monitoring.  • Sustain momentum; address titration and return-to-care gaps.	Improving but titration and retention lagging	BP control gained 15% this month but titration and retention remain below target.	1. BP controlled: 39% (gain: +15%)  2. Titration rate: 41% (target: ≥80%)  3. Returned to care ≤15 days: 21% (target: ≥60%)	Clinical Practice	• Ask if staff changes or training drove recent improvement.  • Confirm drug stock was uninterrupted during improvement period.  • Verify call logs reflect genuine patient contacts made.
UHC Fenchuganj	Improving	• BP control at 38%; gained 15% this month.  • Positive trajectory but sub-target indicators still need monitoring.  • Sustain momentum; address titration and return-to-care gaps.	Improving but titration and retention lagging	BP control gained 15% this month but titration and retention remain below target.	1. BP controlled: 38% (gain: +15%)  2. Titration rate: 59% (target: ≥80%)  3. Returned to care ≤15 days: 38% (target: ≥60%)	Clinical Practice	• Ask if staff changes or training drove recent improvement.  • Confirm drug stock was uninterrupted during improvement period.  • Verify call logs reflect genuine patient contacts made.
CC Osmaninagar	On Target	• BP control at 59%; all key indicators meeting targets.  • Strong performance across follow-up, stock, and clinical indicators.  • Document and share practices as a model for nearby facilities.	Strong performance; replicate and sustain	All key indicators on target; 59% BP control with stable drug supply and follow-up.	1. BP controlled: 59% (target: ≥50%)  2. Drug stock: 88 days (target: ≥60 days)  3. Fudging ratio: 2.3 (threshold: <3.0)	Operational	• Confirm follow-up schedule is maintained consistently each month.  • Review drug ordering process to understand how stock was maintained.  • Document specific practices for replication in other facilities.
CC Gungadiya	On Target	• BP control at 56%; all key indicators meeting targets.  • Strong performance across follow-up, stock, and clinical indicators.  • Document and share practices as a model for nearby facilities.	Strong performance; replicate and sustain	All key indicators on target; 56% BP control with stable drug supply and follow-up.	1. BP controlled: 56% (target: ≥50%)  2. Drug stock: 91 days (target: ≥60 days)  3. Fudging ratio: 1.4 (threshold: <3.0)	Operational	• Confirm follow-up schedule is maintained consistently each month.  • Review drug ordering process to understand how stock was maintained.  • Document specific practices for replication in other facilities.
CC Paton	Improving	• BP control at 66%; gained 9% this month.  • Positive trajectory but sub-target indicators still need monitoring.  • Sustain momentum; address titration and return-to-care gaps.	Improving but titration remains insufficient	BP control gained 9% this month but titration and retention remain below target.	1. BP controlled: 66% (gain: +9%)  2. Titration rate: 64% (target: ≥80%)  3. Returned to care ≤15 days: 64% (target: ≥60%)	Clinical Practice	• Ask if staff changes or training drove recent improvement.  • Confirm drug stock was uninterrupted during improvement period.  • Verify call logs reflect genuine patient contacts made.
CC Jamalpur	At Risk	• BP control at 53%; declined 7% last month.  • Multiple indicators below target signal deteriorating programme quality.  • Prioritise supervision visit and targeted catch-up plan.	Declining BP control needs attention	BP control dropped 7% last month; multiple indicators trending negatively.	1. BP controlled: 53% (change: -7%)  2. Overdue patients called: 61% (target: ≥80%)  3. Titration rate: 66% (target: ≥80%)	Clinical Practice	• Review patient register for dropout patterns this quarter.  • Check call logs are completed and actioned daily.  • Confirm titration decisions are documented at each visit.
CC Hossainpur	On Target	• BP control at 54%; all key indicators meeting targets.  • Strong performance across follow-up, stock, and clinical indicators.  • Document and share practices as a model for nearby facilities.	Strong performance; replicate and sustain	All key indicators on target; 54% BP control with stable drug supply and follow-up.	1. BP controlled: 54% (target: ≥50%)  2. Drug stock: 68 days (target: ≥60 days)  3. Fudging ratio: 1.4 (threshold: <3.0)	Operational	• Confirm follow-up schedule is maintained consistently each month.  • Review drug ordering process to understand how stock was maintained.  • Document specific practices for replication in other facilities.
CC Gopkanu	Improving	• BP control at 59%; gained 1% this month.  • Positive trajectory but sub-target indicators still need monitoring.  • Sustain momentum; address titration and return-to-care gaps.	Improving but titration and retention lagging	BP control gained 1% this month but titration and retention remain below target.	1. BP controlled: 59% (gain: +1%)  2. Titration rate: 66% (target: ≥80%)  3. Returned to care ≤15 days: 44% (target: ≥60%)	Clinical Practice	• Ask if staff changes or training drove recent improvement.  • Confirm drug stock was uninterrupted during improvement period.  • Verify call logs reflect genuine patient contacts made.
CC Shibganj	Improving	• BP control at 54%; gained 8% this month.  • Positive trajectory but sub-target indicators still need monitoring.  • Sustain momentum; address titration and return-to-care gaps.	Improving but titration and retention lagging	BP control gained 8% this month but titration and retention remain below target.	1. BP controlled: 54% (gain: +8%)  2. Titration rate: 68% (target: ≥80%)  3. Returned to care ≤15 days: 30% (target: ≥60%)	Clinical Practice	• Ask if staff changes or training drove recent improvement.  • Confirm drug stock was uninterrupted during improvement period.  • Verify call logs reflect genuine patient contacts made.
CC Bholaganj	Improving	• BP control at 51%; gained 15% this month.  • Positive trajectory but sub-target indicators still need monitoring.  • Sustain momentum; address titration and return-to-care gaps.	Improving but titration and retention lagging	BP control gained 15% this month but titration and retention remain below target.	1. BP controlled: 51% (gain: +15%)  2. Titration rate: 47% (target: ≥80%)  3. Returned to care ≤15 days: 28% (target: ≥60%)	Clinical Practice	• Ask if staff changes or training drove recent improvement.  • Confirm drug stock was uninterrupted during improvement period.  • Verify call logs reflect genuine patient contacts made.
CC Zakiganj	Improving	• BP control at 47%; gained 15% this month.  • Positive trajectory but sub-target indicators still need monitoring.  • Sustain momentum; address titration and return-to-care gaps.	Improving but titration and retention lagging	BP control gained 15% this month but titration and retention remain below target.	1. BP controlled: 47% (gain: +15%)  2. Titration rate: 42% (target: ≥80%)  3. Returned to care ≤15 days: 26% (target: ≥60%)	Clinical Practice	• Ask if staff changes or training drove recent improvement.  • Confirm drug stock was uninterrupted during improvement period.  • Verify call logs reflect genuine patient contacts made.
CC Biswanath	Stagnating	• BP control stuck at 47% for 4+ months without improvement.  • No progress despite programme activity; current approach is insufficient.  • Root-cause review needed; standard interventions are not working.	No improvement despite sustained effort	BP control unchanged at 47% for 4 months; standard programme inputs failing.	1. BP controlled: 47% (no change for 4 months)  2. Overdue patients called: 33% (target: ≥80%)  3. Returned to care ≤15 days: 43% (target: ≥60%)	System	• Ask in-charge what barriers are preventing any improvement.  • Review call logs; check genuine contacts vs recorded attempts.  • Confirm titration protocol is visible and used at point of care.
CC Golapganj	On Target	• BP control at 68%; all key indicators meeting targets.  • Strong performance across follow-up, stock, and clinical indicators.  • Document and share practices as a model for nearby facilities.	Strong performance; replicate and sustain	All key indicators on target; 68% BP control with stable drug supply and follow-up.	1. BP controlled: 68% (target: ≥50%)  2. Drug stock: 68 days (target: ≥60 days)  3. Fudging ratio: 2.4 (threshold: <3.0)	Operational	• Confirm follow-up schedule is maintained consistently each month.  • Review drug ordering process to understand how stock was maintained.  • Document specific practices for replication in other facilities.
CC Jaintapur	Stagnating	• BP control stuck at 49% for 4+ months without improvement.  • No progress despite programme activity; current approach is insufficient.  • Root-cause review needed; standard interventions are not working.	No improvement despite sustained effort	BP control unchanged at 49% for 4 months; standard programme inputs failing.	1. BP controlled: 49% (no change for 4 months)  2. Overdue patients called: 61% (target: ≥80%)  3. Returned to care ≤15 days: 42% (target: ≥60%)	System	• Ask in-charge what barriers are preventing any improvement.  • Review call logs; check genuine contacts vs recorded attempts.  • Confirm titration protocol is visible and used at point of care.
CC Companiganj	On Target	• BP control at 62%; all key indicators meeting targets.  • Strong performance across follow-up, stock, and clinical indicators.  • Document and share practices as a model for nearby facilities.	Strong performance; replicate and sustain	All key indicators on target; 62% BP control with stable drug supply and follow-up.	1. BP controlled: 62% (target: ≥50%)  2. Drug stock: 85 days (target: ≥60 days)  3. Fudging ratio: 1.8 (threshold: <3.0)	Operational	• Confirm follow-up schedule is maintained consistently each month.  • Review drug ordering process to understand how stock was maintained.  • Document specific practices for replication in other facilities.
CC Kanaighat	Stagnating	• BP control stuck at 46% for 4+ months without improvement.  • No progress despite programme activity; current approach is insufficient.  • Root-cause review needed; standard interventions are not working.	No improvement despite sustained effort	BP control unchanged at 46% for 4 months; standard programme inputs failing.	1. BP controlled: 46% (no change for 4 months)  2. Overdue patients called: 56% (target: ≥80%)  3. Returned to care ≤15 days: 31% (target: ≥60%)	System	• Ask in-charge what barriers are preventing any improvement.  • Review call logs; check genuine contacts vs recorded attempts.  • Confirm titration protocol is visible and used at point of care.
CC Beanibazar	On Target	• BP control at 66%; all key indicators meeting targets.  • Strong performance across follow-up, stock, and clinical indicators.  • Document and share practices as a model for nearby facilities.	Strong performance; replicate and sustain	All key indicators on target; 66% BP control with stable drug supply and follow-up.	1. BP controlled: 66% (target: ≥50%)  2. Drug stock: 98 days (target: ≥60 days)  3. Fudging ratio: 2.0 (threshold: <3.0)	Operational	• Confirm follow-up schedule is maintained consistently each month.  • Review drug ordering process to understand how stock was maintained.  • Document specific practices for replication in other facilities.
CC Fenchuganj	On Target	• BP control at 56%; all key indicators meeting targets.  • Strong performance across follow-up, stock, and clinical indicators.  • Document and share practices as a model for nearby facilities.	Strong performance; replicate and sustain	All key indicators on target; 56% BP control with stable drug supply and follow-up.	1. BP controlled: 56% (target: ≥50%)  2. Drug stock: 105 days (target: ≥60 days)  3. Fudging ratio: 1.1 (threshold: <3.0)	Operational	• Confirm follow-up schedule is maintained consistently each month.  • Review drug ordering process to understand how stock was maintained.  • Document specific practices for replication in other facilities.
CC Balagonj	On Target	• BP control at 66%; all key indicators meeting targets.  • Strong performance across follow-up, stock, and clinical indicators.  • Document and share practices as a model for nearby facilities.	Strong performance; replicate and sustain	All key indicators on target; 66% BP control with stable drug supply and follow-up.	1. BP controlled: 66% (target: ≥50%)  2. Drug stock: 74 days (target: ≥60 days)  3. Fudging ratio: 1.2 (threshold: <3.0)	Operational	• Confirm follow-up schedule is maintained consistently each month.  • Review drug ordering process to understand how stock was maintained.  • Document specific practices for replication in other facilities.
CC Dakshin Surma	Improving	• BP control at 43%; gained 12% this month.  • Positive trajectory but sub-target indicators still need monitoring.  • Sustain momentum; address titration and return-to-care gaps.	Improving but titration and retention lagging	BP control gained 12% this month but titration and retention remain below target.	1. BP controlled: 43% (gain: +12%)  2. Titration rate: 51% (target: ≥80%)  3. Returned to care ≤15 days: 42% (target: ≥60%)	Clinical Practice	• Ask if staff changes or training drove recent improvement.  • Confirm drug stock was uninterrupted during improvement period.  • Verify call logs reflect genuine patient contacts made.
CC Osmanpur	On Target	• BP control at 66%; all key indicators meeting targets.  • Strong performance across follow-up, stock, and clinical indicators.  • Document and share practices as a model for nearby facilities.	Strong performance; replicate and sustain	All key indicators on target; 66% BP control with stable drug supply and follow-up.	1. BP controlled: 66% (target: ≥50%)  2. Drug stock: 79 days (target: ≥60 days)  3. Fudging ratio: 1.3 (threshold: <3.0)	Operational	• Confirm follow-up schedule is maintained consistently each month.  • Review drug ordering process to understand how stock was maintained.  • Document specific practices for replication in other facilities.
CC Atgram	Critical	• Drug stock critically low at 1 days; immediate resupply needed.  • BP control at 40%; supply gap will worsen outcomes rapidly.  • Emergency stock order must be placed today.	Critical drug stock nearly exhausted	Stock at 1 days; patients risk leaving without medication this week.	1. Drug stock: 1 days (critical threshold: <30 days)  2. BP controlled: 40% (target: ≥50%)  3. Titration rate: 62% (target: ≥80%)	Operational	• Count physical drug stock; verify register matches today.  • Confirm emergency resupply order has been submitted.  • Ask if patients were turned away due to stock shortage.
CC Taltala	Improving	• BP control at 39%; gained 15% this month.  • Positive trajectory but sub-target indicators still need monitoring.  • Sustain momentum; address titration and return-to-care gaps.	Improving but titration and retention lagging	BP control gained 15% this month but titration and retention remain below target.	1. BP controlled: 39% (gain: +15%)  2. Titration rate: 67% (target: ≥80%)  3. Returned to care ≤15 days: 50% (target: ≥60%)	Clinical Practice	• Ask if staff changes or training drove recent improvement.  • Confirm drug stock was uninterrupted during improvement period.  • Verify call logs reflect genuine patient contacts made.
CC Sherpur	On Target	• BP control at 53%; all key indicators meeting targets.  • Strong performance across follow-up, stock, and clinical indicators.  • Document and share practices as a model for nearby facilities.	Strong performance; replicate and sustain	All key indicators on target; 53% BP control with stable drug supply and follow-up.	1. BP controlled: 53% (target: ≥50%)  2. Drug stock: 77 days (target: ≥60 days)  3. Fudging ratio: 1.5 (threshold: <3.0)	Operational	• Confirm follow-up schedule is maintained consistently each month.  • Review drug ordering process to understand how stock was maintained.  • Document specific practices for replication in other facilities.
CC Madhabpur	Improving	• BP control at 42%; gained 15% this month.  • Positive trajectory but sub-target indicators still need monitoring.  • Sustain momentum; address titration and return-to-care gaps.	Improving but titration and retention lagging	BP control gained 15% this month but titration and retention remain below target.	1. BP controlled: 42% (gain: +15%)  2. Titration rate: 50% (target: ≥80%)  3. Returned to care ≤15 days: 20% (target: ≥60%)	Clinical Practice	• Ask if staff changes or training drove recent improvement.  • Confirm drug stock was uninterrupted during improvement period.  • Verify call logs reflect genuine patient contacts made.
CC Nobiganj	Improving	• BP control at 46%; gained 15% this month.  • Positive trajectory but sub-target indicators still need monitoring.  • Sustain momentum; address titration and return-to-care gaps.	Improving but titration and retention lagging	BP control gained 15% this month but titration and retention remain below target.	1. BP controlled: 46% (gain: +15%)  2. Titration rate: 62% (target: ≥80%)  3. Returned to care ≤15 days: 40% (target: ≥60%)	Clinical Practice	• Ask if staff changes or training drove recent improvement.  • Confirm drug stock was uninterrupted during improvement period.  • Verify call logs reflect genuine patient contacts made.
CC Habiganj	Improving	• BP control at 46%; gained 15% this month.  • Positive trajectory but sub-target indicators still need monitoring.  • Sustain momentum; address titration and return-to-care gaps.	Improving but titration and retention lagging	BP control gained 15% this month but titration and retention remain below target.	1. BP controlled: 46% (gain: +15%)  2. Titration rate: 45% (target: ≥80%)  3. Returned to care ≤15 days: 21% (target: ≥60%)	Clinical Practice	• Ask if staff changes or training drove recent improvement.  • Confirm drug stock was uninterrupted during improvement period.  • Verify call logs reflect genuine patient contacts made.
CC Chunarughat	Improving	• BP control at 45%; gained 9% this month.  • Positive trajectory but sub-target indicators still need monitoring.  • Sustain momentum; address titration and return-to-care gaps.	Improving but titration and retention lagging	BP control gained 9% this month but titration and retention remain below target.	1. BP controlled: 45% (gain: +9%)  2. Titration rate: 46% (target: ≥80%)  3. Returned to care ≤15 days: 31% (target: ≥60%)	Clinical Practice	• Ask if staff changes or training drove recent improvement.  • Confirm drug stock was uninterrupted during improvement period.  • Verify call logs reflect genuine patient contacts made.
CC Lakhai	On Target	• BP control at 66%; all key indicators meeting targets.  • Strong performance across follow-up, stock, and clinical indicators.  • Document and share practices as a model for nearby facilities.	Strong performance; replicate and sustain	All key indicators on target; 66% BP control with stable drug supply and follow-up.	1. BP controlled: 66% (target: ≥50%)  2. Drug stock: 89 days (target: ≥60 days)  3. Fudging ratio: 2.2 (threshold: <3.0)	Operational	• Confirm follow-up schedule is maintained consistently each month.  • Review drug ordering process to understand how stock was maintained.  • Document specific practices for replication in other facilities.
CC Bahubal	Stagnating	• BP control stuck at 42% for 4+ months without improvement.  • No progress despite programme activity; current approach is insufficient.  • Root-cause review needed; standard interventions are not working.	No improvement despite sustained effort	BP control unchanged at 42% for 4 months; standard programme inputs failing.	1. BP controlled: 42% (no change for 4 months)  2. Overdue patients called: 27% (target: ≥80%)  3. Returned to care ≤15 days: 43% (target: ≥60%)	System	• Ask in-charge what barriers are preventing any improvement.  • Review call logs; check genuine contacts vs recorded attempts.  • Confirm titration protocol is visible and used at point of care.
